"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"1","The Perfect song❤","@rodrigovega2006","https://yt3.ggpht.com/ytc/AIdro_mC-F_LUNsLxxHq0iRkdThSk-g8rlByJUfRPLo8n2HtbmB0G7VDfzswGgLJModTHVY6_A=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@rodrigovega2006","UCrdeXLJFSvrBxTgeoghdsQw","0","1","2024-04-29T22:21:53Z","2024-04-29T22:21:53Z","UgxoypATt-VXZ8pypjd4AaABAg",NA,"y83x7MgzWOA"
"2","2024 anybody?","@DerrickHolmes2024","https://yt3.ggpht.com/4KAT6pccgIS7TmYzTFO6CvaAuWsLt6RfkO_9XG-J8llty7A7JHiXXtcVQ2EnugwEnhHkjbaIXrw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@DerrickHolmes2024","UCWjb0-auPoScmdPAs007JcA","0","4","2024-04-29T05:31:56Z","2024-04-29T05:31:56Z","UgwHLZXc7O2dNHn0HD54AaABAg",NA,"y83x7MgzWOA"
"3","I like this song ❤","@youssefchehaibi4498","https://yt3.ggpht.com/KkzeeM7FwuR79rKp3jI4mY0Y1eu9w22eGswOIdgz6n3WE0_Oy00P46PlKlQ-M5EX3-akpuww_w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@youssefchehaibi4498","UCRdfwytL7FLKlP9N6BzsB5A","0","0","2024-04-28T22:58:19Z","2024-04-28T22:58:19Z","Ugzqqf00hkyqjR5UNk54AaABAg",NA,"y83x7MgzWOA"
"4","Any one 2026 😅","@rajibsangma6216","https://yt3.ggpht.com/ytc/AIdro_lAyCmPuPTcTtYpOA4QnUiNiel5MSi2UOypDgNoiTtaAGtGVrLt1wtS6foazk69LW0x-w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@rajibsangma6216","UC6MVLVN2TCSvBN2sLlylKZA","0","1","2024-04-28T11:22:05Z","2024-04-28T11:22:05Z","UgydVfivBXHYEK6epfR4AaABAg",NA,"y83x7MgzWOA"
"5","Justin Bieber ❌ Aladdin
Ed Sheeran ❌ Panda Sheeran","@helloeveryone-qh4sx","https://yt3.ggpht.com/53wBHBqnkXHN9tDQ91qyLfvjciZ9RgASfzfvXvsa2L8mHlOKiGkJaYX3iHgTq8g7D93XPIWt0g=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@helloeveryone-qh4sx","UC2AogXcbi98RJ7EIrTX6-XA","0","0","2024-04-28T07:45:57Z","2024-04-28T07:45:57Z","UgwA4cL2Bedmzxirs354AaABAg",NA,"y83x7MgzWOA"
"6","❤❤❤🎉🎉🎉🎉","@NhiNguyen-gd4ji","https://yt3.ggpht.com/ytc/AIdro_mestMozA_adsrvmRhpG8jY13_GN4HNzI1cyokBWXoqJDc=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@NhiNguyen-gd4ji","UCuTbdJhF0ts3Z9bO0fF0MiQ","0","0","2024-04-28T05:56:31Z","2024-04-28T05:56:31Z","UgzCaRq0SBvgZQ958fl4AaABAg",NA,"y83x7MgzWOA"
"7","i
⊂_ヽ
     ＼＼   don't
         ＼( ͡° ͜ʖ ͡°)
              >    ⌒ヽ
            /      へ＼
         /        /    ＼＼care
         ﾚ    ノ         ヽ_つ
        /    /
     /    /|
    (    (ヽ
    |    |、＼
    | 丿 ＼ ⌒)
    | |        ) /
ノ )        Lﾉ
(_／


Beautiful 🤩","@SophiaBurcg","https://yt3.ggpht.com/ytc/AIdro_mGCcO77qRAILeeq23h9y6AoVb-S6jhNjs55xh4H1JqzRtYoueMFrSC8S9Y7lZhzF6Tww=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@SophiaBurcg","UCjXTyCPyqht-aR0iiQ7efrQ","0","2","2024-04-28T05:10:09Z","2024-04-28T21:24:25Z","UgyUI53oJt1WpDBrGxJ4AaABAg",NA,"y83x7MgzWOA"
"8","me","@themesjohnrojas2401","https://yt3.ggpht.com/ytc/AIdro_k3XoLCYJ_VhMwqNEJJpIVUimOkq0SGIlZenwp2kkZh4w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@themesjohnrojas2401","UCltND5c3uy6NsQ7B85Vpbdw","0","0","2024-04-28T02:57:42Z","2024-04-28T02:57:42Z","UgyHV16vCAzTSvm549Z4AaABAg",NA,"y83x7MgzWOA"
"9","When this came out I was homeless, on drugs, and then jail. I now have a house, job, and husband. This song and “Clover Cage - In the Moment” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💝","@kaylagorrano39","https://yt3.ggpht.com/GqSknBW2ouQ3vreeWE5ctOFfXhX-VbE0sQcMEKlF_6Bc22CKNDbDD2-5jR8A-Mus_2ZC8kykwhY=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@kaylagorrano39","UCVRB_QHwXK5a4CMW0luwIrg","0","1","2024-04-28T02:30:29Z","2024-04-28T02:30:29Z","UgxYU1-OdS4dz0Img-x4AaABAg",NA,"y83x7MgzWOA"
"10","","@ciobanurafael1566","https://yt3.ggpht.com/ytc/AIdro_n3FynHF3-Zl8CfdFufjXnwvOoMTe8iplUveRY-zu4=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@ciobanurafael1566","UCbkAwVKjdERyq6jrx3VSqFg","0","0","2024-04-27T21:45:50Z","2024-04-27T21:45:50Z","UgwjfkK5-FyY837AoWF4AaABAg",NA,"y83x7MgzWOA"
