"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"1","❤","@evaneva934ui","https://yt3.ggpht.com/yPNmlLPDKpQM0O4qrXywj5iT00gBLFp6hvqEOGobiOyC4gIi-APVSIelZCB8lc3cZ6pF8R9Bmw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@evaneva934ui","UCr_82OF7AP5Equ5NvhhmzZg","1","0","2024-04-30T05:16:32Z","2024-04-30T05:16:32Z","UgzdFwb8OsOwGnea1vJ4AaABAg",NA,"JGwWNGJdvx8"
"2","Bäst song😮❤❤","@Andreas-fo3zn","https://yt3.ggpht.com/ytc/AIdro_np1pbEMqKIGdQfKnkyxDVvHvPVBF2gW8dW8EvuKt4=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Andreas-fo3zn","UCmu20S6cjpTfp19_01uXqfw","0","0","2024-04-30T04:49:12Z","2024-04-30T04:49:12Z","UgzfRKanMpC4CzcHTk14AaABAg",NA,"JGwWNGJdvx8"
"3","🇧🇩🖤","@trony8126","https://yt3.ggpht.com/ytc/AIdro_laeprnjeHjiSdCtkIY5ZekgChoopKGcpUw4d6SjxNavZDbGCmy_rqh6gzdnVcZjWhtBQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@trony8126","UCppRsrpDr0Shywb8yyd-X4g","0","0","2024-04-30T04:31:02Z","2024-04-30T04:31:02Z","Ugw1t_l5gpjqbjRdkWR4AaABAg",NA,"JGwWNGJdvx8"
"4","Anyone in 2024 😂","@SUSY444","https://yt3.ggpht.com/H5bLtiOV0j8ExzNl0AKdVtPNf5oR7qEw-xa4fhvprDIuD0DUYBa-5NeFlvEgJmIxThHp65c5cw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@SUSY444","UCgD7eE4_WrmYG4cjlYG5pxQ","0","4","2024-04-30T03:54:48Z","2024-04-30T03:54:48Z","Ugx1ACdG2VlP9Y-MeLh4AaABAg",NA,"JGwWNGJdvx8"
"5","30 April 2025, 8 years, still a legend!!!","@binhhoang8464","https://yt3.ggpht.com/ytc/AIdro_lyv94V-zmYKUOsL0LzMa4upUCfIqP9qpD-MnkHyFF4SDM=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@binhhoang8464","UCYzHT28nR7pLEMTBGauhzlA","0","0","2024-04-30T03:40:19Z","2024-04-30T03:40:19Z","Ugwbejcsvf_vKdXhBjh4AaABAg",NA,"JGwWNGJdvx8"
"6","Someone… here in 2024???😢","@TYLERloveless1234","https://yt3.ggpht.com/lsCxeLeAfL_k8yd3VPAlV72QkklpQoI64kjX6IlMB_PNDRBRx1EikLjHJjMnZc8mCt8w9l43dw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@TYLERloveless1234","UCknELoCazEV1rYVVFTILpsQ","0","1","2024-04-30T03:28:49Z","2024-04-30T03:28:49Z","Ugw0DLuf24XdRVQxW5N4AaABAg",NA,"JGwWNGJdvx8"
"7","my job play dis shi onna store speakers","@jaymoe4284","https://yt3.ggpht.com/ytc/AIdro_mVofwt9MSzmelWqk4PMBwhE5n-Lq_Ymn8ceDJljpbnbB8AS6fhHAe6Vv9UBX0RAJDAVw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@jaymoe4284","UCNQSRpBrtmsS0ibfIkAHiTw","0","0","2024-04-30T03:18:52Z","2024-04-30T03:18:52Z","Ugx4QYk--cZcZy4Y98x4AaABAg",NA,"JGwWNGJdvx8"
"8","He got a big promotion.","@user-g2jmo5kqecx6","https://yt3.ggpht.com/SXenTcuVnW1kxeo8VbyoQ_Ebh1TTkVH-2q4vwhMRD3MtoBTC8WhzNk5V2kqeaVg_ejqgoPby-1o=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-g2jmo5kqecx6","UC7lg63rCNkb3qTNmeUfGROg","0","0","2024-04-30T02:53:10Z","2024-04-30T02:53:10Z","Ugz_LvA67mVJerhJQHJ4AaABAg",NA,"JGwWNGJdvx8"
"9","2024","@WilLopez-px1vx","https://yt3.ggpht.com/ytc/AIdro_kyKYN6nMKhyF6lfsxaBhBggLTm_UXP4uFvN9PMRyshUwp-sjIgLnMzEEoqVfCofXlIcQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@WilLopez-px1vx","UCvzVKuWWrlsmj4hvV77jLrA","0","0","2024-04-30T02:47:24Z","2024-04-30T02:47:24Z","UgyU5Bb4mh97eSjpcTB4AaABAg",NA,"JGwWNGJdvx8"
"10","6.2 billion, is insane. 1.1m chat is insane. Making music that a planet is going to hear and enjoy is ingenious, and I heard you're Indie? Is extraterrestrial 😮","@pinealglandeyestgaming245","https://yt3.ggpht.com/ytc/AIdro_lt5qZal7k4BiyjfPdC8UY-9n7M3kJdQwHQuBO7z29xAQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@pinealglandeyestgaming245","UCmcmP84l4VR_mYMEy9u77bA","0","0","2024-04-30T02:38:18Z","2024-04-30T02:38:18Z","UgxaWFRiVl1Xl8-_V0R4AaABAg",NA,"JGwWNGJdvx8"
